faculty,building,room,capacity,lecturer_email,lecturer_firstname,lecturer_surname
Faculty of Art,B10,R1002,220,CM2Z1@UoNEHT.ac.uk,Cynthia,Moore
Faculty of Art,B10,R1007,440,DH1Z1@UoNEHT.ac.uk,Diana,Hawkins
Faculty of Art,B10,R2012,70,AM2Z1@UoNEHT.ac.uk,Andrea,Merritt
Faculty of Art,B10,R2014,420,SN1Z1@UoNEHT.ac.uk,Samantha,Nelson
Faculty of Art,B15,R1001,460,RF1Z1@UoNEHT.ac.uk,Ronald,Fernandez
Faculty of Art,B15,R1002,40,HR1Z1@UoNEHT.ac.uk,Hailey,Rodriguez
Faculty of Art,B15,R1004,160,JD2Z1@UoNEHT.ac.uk,James,Davis
Faculty of Art,B15,R1006,390,AM4Z1@UoNEHT.ac.uk,Austin,Murphy
Faculty of Art,B15,R1010,430,GF2Z1@UoNEHT.ac.uk,Greg,Frazier
Faculty of Art,B15,R2018,220,DS2Z1@UoNEHT.ac.uk,Danielle,Schneider
Faculty of Art,B15,R3020,60,HD1Z1@UoNEHT.ac.uk,Hannah,Dunlap
Faculty of Art,B15,R4028,400,AD1Z1@UoNEHT.ac.uk,Adrian,Diaz
Faculty of Art,B15,R4028,400,CM1Z1@UoNEHT.ac.uk,Christopher,Moyer
Faculty of Art,B15,R4030,470,JP1Z1@UoNEHT.ac.uk,Jeremy,Pearson
Faculty of Art,B15,R4031,50,MM2Z1@UoNEHT.ac.uk,Melanie,Morse
Faculty of Art,B16,R3004,180,JB4Z1@UoNEHT.ac.uk,John,Bowen
Faculty of Art,B16,R5012,110,KJ1Z1@UoNEHT.ac.uk,Kevin,Jones
Faculty of Art,B16,R5020,180,MO2Z1@UoNEHT.ac.uk,Morgan,Ortiz
Faculty of Art,B16,R6026,170,DG1Z1@UoNEHT.ac.uk,Douglas,Gross
Faculty of Art,B16,R6040,20,MK2Z1@UoNEHT.ac.uk,Michael,Key
Faculty of Art,B16,R6061,50,HS2Z1@UoNEHT.ac.uk,Heather,Scott
Faculty of Art,B16,R8074,190,MM2Z1@UoNEHT.ac.uk,Melanie,Morse
Faculty of Art,B18,R1000,390,CR1Z1@UoNEHT.ac.uk,Cheryl,Rogers
