student firstname,student surname,student id,student email,year,address,contact number,module id,module name,leader,lecturer1,lecturer2,exam mark,coursework1,coursework2,coursework3
Michael,Smith,102339572,MS18Y25@UoNEHT.ac.uk,2,"55845 Christopher Isle Apt. 508
North Robertborough, MP 45494",+1-228-314-3139,COMP2407,Prototypical Programming,GB1Z1@UoNEHT.ac.uk,,,54.0,4.0,,
Mark,Lopez,137560115,ML6Y25@UoNEHT.ac.uk,1,"93880 Preston Turnpike Apt. 878
West Josephport, AZ 97451",,COMP1406,Foundational Statistics,TW1Z1@UoNEHT.ac.uk,MH3Z1@UoNEHT.ac.uk,DS7Z1@UoNEHT.ac.uk,19.0,17.0,,
Stephanie,Fitzgerald,30589855,SF4Y25@UoNEHT.ac.uk,4,,,COMP4403,Theoretical Ethics and Standards,KH1Z1@UoNEHT.ac.uk,TG1Z1@UoNEHT.ac.uk,JS4Z1@UoNEHT.ac.uk,12.0,0.0,14.0,9.0
David,Clark,98968560,DC11Y25@UoNEHT.ac.uk,2,"USCGC Bender
FPO AP 65237",001-854-623-8258x999,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,45.0,0.0,
Nichole,Schultz,15561423,NS1Y25@UoNEHT.ac.uk,4,"6190 Suzanne Garden Suite 827
South Nicholasside, MS 95421",(401)440-1075,FREN4401,Expert Poetics,JM1Z1@UoNEHT.ac.uk,,,,1.0,3.0,31.0
Jimmy,Graham,37486001,JG3Y25@UoNEHT.ac.uk,4,"085 Thomas Bridge Suite 212
South Brianhaven, SD 29722",(287)329-9761x82738,ELEC4406,Theoretical Modelling,JS3Z1@UoNEHT.ac.uk,,,43.0,,,
Anthony,Bullock,86653283,AB16Y25@UoNEHT.ac.uk,2,"92608 Michael Court
Lake Javierburgh, VI 68787",593-841-5905x9530,FREN2404,Prototypical Creative Writing,KC1Z1@UoNEHT.ac.uk,,,,26.0,23.0,6.0
Bonnie,Smith,31461678,BS2Y25@UoNEHT.ac.uk,4,"7983 Michael Way Suite 996
New Nicholasland, DC 88670",,COMP4407,Theoretical Programming,JB2Z1@UoNEHT.ac.uk,AD2Z1@UoNEHT.ac.uk,,,50.0,28.0,
Jacqueline,Singh,127756467,JS46Y25@UoNEHT.ac.uk,1,"4760 Jones Rapid Suite 695
North Josebury, CA 96804",,ENG1403,Basic English Literature,SA3Z1@UoNEHT.ac.uk,,,32.0,3.0,7.0,4.0
Elizabeth,Gutierrez,89949529,EG5Y25@UoNEHT.ac.uk,2,"7761 Sanchez Brook
Robbinsberg, CT 88000",(625)577-6666,ENG2406,Structured English Grammar,RM3Z1@UoNEHT.ac.uk,,,2.0,6.0,,
Kimberly,Cole,101087097,KC13Y25@UoNEHT.ac.uk,2,"91325 Hickman Center
East Christopherview, MN 57287",+1-674-392-2811x232,COMP2407,Prototypical Programming,GB1Z1@UoNEHT.ac.uk,,,60.0,4.0,,
Taylor,Wilkerson,117498932,TW13Y25@UoNEHT.ac.uk,1,"4047 Rojas Ridge Suite 990
Churchborough, CT 07598",(380)250-1113x57712,ANIM1403,Beginner's Modelling,CM2Z1@UoNEHT.ac.uk,BP2Z1@UoNEHT.ac.uk,TW2Z1@UoNEHT.ac.uk,40.0,2.0,,
Gabriel,Wood,62363270,GW1Y25@UoNEHT.ac.uk,3,"6277 Anthony Avenue Suite 503
Riceport, TN 31788",(503)985-1394,GER3402,Advanced German Literature,CS1Z1@UoNEHT.ac.uk,,,74.0,6.0,8.0,
Melanie,Jordan,136675444,MJ27Y25@UoNEHT.ac.uk,1,"534 Brian Lock Suite 116
Martinville, SD 30148",001-652-631-1397x72688,COMP1403,Beginner's Algorithms,KW2Z1@UoNEHT.ac.uk,JG6Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,10.0,3.0,0.0,
Mark,Shields,81598079,MS12Y25@UoNEHT.ac.uk,2,,(914)889-5076x6499,ANIM2401,Structured Animation,MM2Z1@UoNEHT.ac.uk,,,22.0,,,
James,Herrera,50615225,JH16Y25@UoNEHT.ac.uk,3,"49462 Matthew Camp Apt. 242
Batesmouth, AL 84038",688-851-5801x071,FREN3406,Mastering French Literature,MS4Z1@UoNEHT.ac.uk,,,11.0,3.0,,
Maria,Lane,51496848,ML3Y25@UoNEHT.ac.uk,3,,612.998.0587x649,FREN3406,Mastering French Literature,MS4Z1@UoNEHT.ac.uk,,,7.0,20.0,,
Andrew,Walls,86881511,AW18Y25@UoNEHT.ac.uk,2,"USS Adams
FPO AP 16405",734-786-1972x05117,FREN2406,Intermediate Poetics,YC1Z1@UoNEHT.ac.uk,BH1Z1@UoNEHT.ac.uk,,75.0,8.0,6.0,
Joshua,Hayes,100061687,JH32Y25@UoNEHT.ac.uk,2,,,COMP2401,Intermediate Design,FM1Z1@UoNEHT.ac.uk,LP1Z1@UoNEHT.ac.uk,TM3Z1@UoNEHT.ac.uk,,43.0,42.0,
Aaron,Daniels,49731216,AD3Y25@UoNEHT.ac.uk,3,"4562 Torres Camp
New Marcus, CO 02250",371-239-9500,FREN3402,Practical Rhetoric,KS2Z1@UoNEHT.ac.uk,,,56.0,6.0,0.0,
Antonio,Phillips,20046993,AP5Y25@UoNEHT.ac.uk,4,"727 Daniel Park
South Mario, ME 89306",577.517.5470,ENG4406,Expert Wider Media,MD1Z1@UoNEHT.ac.uk,LG1Z1@UoNEHT.ac.uk,KS2Z1@UoNEHT.ac.uk,37.0,32.0,,
Nicholas,Robinson,71736169,NR5Y25@UoNEHT.ac.uk,3,"81008 Patrick Flat Apt. 993
Kyletown, KY 48546",2078958059,ELEC3401,Advanced Modelling,JG1Z1@UoNEHT.ac.uk,,,68.0,0.0,1.0,
Manuel,Hamilton,102136405,MH21Y25@UoNEHT.ac.uk,2,"8261 Lori Estates Apt. 700
Jonathanbury, AR 73404",9113581882,COMP2402,Advanced Ethics and Standards,KB2Z1@UoNEHT.ac.uk,JR3Z1@UoNEHT.ac.uk,CM3Z1@UoNEHT.ac.uk,,22.0,6.0,
Melissa,Michael,56260192,MM12Y25@UoNEHT.ac.uk,3,"58984 Bowman Ford Suite 451
Danielborough, IA 20789",+1-949-269-7825x17974,ENG3405,Practical English Grammar,LG1Z1@UoNEHT.ac.uk,JS2Z1@UoNEHT.ac.uk,NC1Z1@UoNEHT.ac.uk,28.0,1.0,4.0,
Adrian,Thomas,128486950,AT6Y25@UoNEHT.ac.uk,1,"238 Jennifer Keys Apt. 069
Lake Charleston, MO 13412",001-878-297-0455,ENG1407,Early English Grammar,RW1Z1@UoNEHT.ac.uk,,,12.0,4.0,10.0,
Jessica,Salazar,136216007,JS49Y25@UoNEHT.ac.uk,1,"20814 Warren Route Apt. 689
Coxview, KY 63615",(609)248-4038,COMP1403,Beginner's Algorithms,KW2Z1@UoNEHT.ac.uk,JG6Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,40.0,2.0,8.0,
Autumn,Jones,120509775,AJ14Y25@UoNEHT.ac.uk,1,"429 Michael Springs Suite 612
New Brianview, TX 18477",3986402855,FREN1404,Basic French Literature,RR1Z1@UoNEHT.ac.uk,,,77.0,0.0,9.0,1.0
Anna,Mcgee,99514159,AM20Y25@UoNEHT.ac.uk,2,"48612 Matthew Pike Suite 298
North Jay, NY 23889",,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,10.0,36.0,
Barbara,Martinez,69984759,BM10Y25@UoNEHT.ac.uk,3,,895.523.1322x3843,COMP3402,Field Programming,LK1Z1@UoNEHT.ac.uk,,,7.0,25.0,8.0,21.0
Robin,Patton,9633949,RP2Y25@UoNEHT.ac.uk,4,"53913 Robinson Stream Apt. 031
East Melissafurt, MS 79328",,ANIM4402,Theoretical Rigging,AD1Z1@UoNEHT.ac.uk,,,72.0,,,
Ruth,Rivera,51757168,RR2Y25@UoNEHT.ac.uk,3,"24596 Paul Greens
Isabellastad, IA 03682",(999)368-2830,FREN3407,Mastering Poetics,AE1Z1@UoNEHT.ac.uk,NY1Z1@UoNEHT.ac.uk,,22.0,2.0,7.0,0.0
Michael,Matthews,49988877,MM11Y25@UoNEHT.ac.uk,3,"93589 Johnny Valleys Apt. 741
Estesberg, SC 49245",5478624233,FREN3402,Practical Rhetoric,KS2Z1@UoNEHT.ac.uk,,,72.0,8.0,3.0,
Brenda,Washington,130722776,BW15Y25@UoNEHT.ac.uk,1,"1878 Carly Wells Suite 903
Madelinefort, SD 91513",,GER1404,Introduction to Formal Speech,DS3Z1@UoNEHT.ac.uk,CT2Z1@UoNEHT.ac.uk,,50.0,9.0,2.0,
Anna,Rodriguez,108372070,AR19Y25@UoNEHT.ac.uk,2,"9963 Baker Walk
Mitchellborough, FM 04287",+1-435-547-8034,ELEC2403,Advanced Modelling,MB2Z1@UoNEHT.ac.uk,JJ5Z1@UoNEHT.ac.uk,RM4Z1@UoNEHT.ac.uk,,32.0,1.0,16.0
Elizabeth,Johnson,123808150,EJ3Y25@UoNEHT.ac.uk,1,"7924 Stephanie Parks Suite 024
North Sherry, CO 75721",,FREN1402,Introduction to Formal Speech,KB3Z1@UoNEHT.ac.uk,AG1Z1@UoNEHT.ac.uk,,50.0,3.0,9.0,1.0
Austin,Robles,29349865,AR4Y25@UoNEHT.ac.uk,4,"35075 Acevedo Street
Michaelfort, OK 87793",860-203-9596x67857,COMP4406,Mastering Algorithms,JD1Z1@UoNEHT.ac.uk,,,54.0,2.0,3.0,
Bryan,Wright,105407665,BW10Y25@UoNEHT.ac.uk,2,"65023 Brent Mission
North Kristenport, NY 48814",923-412-1383x73429,ELEC2407,Intermediate Microsystems,MJ1Z1@UoNEHT.ac.uk,MW4Z1@UoNEHT.ac.uk,,20.0,6.0,3.0,
Robin,Moore,72201374,RM12Y25@UoNEHT.ac.uk,3,"34320 Maurice Manor Apt. 362
North Shelby, PR 90314",,ELEC3405,Field Design,LN1Z1@UoNEHT.ac.uk,,,39.0,8.0,,
Elizabeth,Gray,87752633,EG4Y25@UoNEHT.ac.uk,2,"976 Barnes Pass
North Zacharyfurt, IL 71201",,FREN2404,Prototypical Creative Writing,KC1Z1@UoNEHT.ac.uk,,,,3.0,11.0,8.0
Laura,Gomez,44953299,LG4Y25@UoNEHT.ac.uk,3,"8934 Stokes Summit Suite 261
North Jason, KS 22189",+1-443-455-0205x1179,ANIM3402,Mastering Lighting,MS1Z1@UoNEHT.ac.uk,DM1Z1@UoNEHT.ac.uk,,40.0,6.0,,
Andrea,Adams,128549275,AA15Y25@UoNEHT.ac.uk,1,"USS Hopkins
FPO AE 13279",264-325-0327x93948,ENG1404,Basic Rhetoric,CC2Z1@UoNEHT.ac.uk,EG1Z1@UoNEHT.ac.uk,,80.0,6.0,9.0,
Dylan,Richard,122622979,DR13Y25@UoNEHT.ac.uk,1,"61417 Dennis Locks Apt. 552
Brianville, KY 30553",+1-797-297-2672x59781,FREN1406,Beginner's Creative Writing,KS3Z1@UoNEHT.ac.uk,ML1Z1@UoNEHT.ac.uk,,36.0,14.0,,
Pamela,Parker,108357558,PP8Y25@UoNEHT.ac.uk,2,"USCGC Wilson
FPO AE 14647",,ELEC2402,Structured Design,SW2Z1@UoNEHT.ac.uk,,,70.0,,,
Breanna,Huffman,17028288,BH3Y25@UoNEHT.ac.uk,4,"Unit 4084 Box 6167
DPO AA 25523",001-855-756-8805,FREN4405,Theoretical Rhetoric,JM1Z1@UoNEHT.ac.uk,JL1Z1@UoNEHT.ac.uk,,48.0,5.0,8.0,
Crystal,Ross,93043900,CR10Y25@UoNEHT.ac.uk,2,"8004 Howard Creek
Stevenston, CT 35281",001-957-972-6163,ENG2403,Prototypical English Literature,KC1Z1@UoNEHT.ac.uk,NW1Z1@UoNEHT.ac.uk,SL1Z1@UoNEHT.ac.uk,,27.0,6.0,16.0
Jackson,Atkinson,90584985,JA12Y25@UoNEHT.ac.uk,2,"29760 Carol Radial Suite 997
Johnhaven, TN 55963",,ENG2406,Structured English Grammar,RM3Z1@UoNEHT.ac.uk,,,14.0,28.0,,
Jacob,Warren,95394735,JW21Y25@UoNEHT.ac.uk,2,"568 Chang Street
Jenniferport, WI 02470",,GER2402,Intermediate Formal Speech,JL1Z1@UoNEHT.ac.uk,DA1Z1@UoNEHT.ac.uk,EL2Z1@UoNEHT.ac.uk,,11.0,31.0,
Joseph,Buckley,39819936,JB5Y25@UoNEHT.ac.uk,3,"255 Sydney Crest Apt. 476
North Emily, OH 07109",,FINE3405,Advanced Painting,HD1Z1@UoNEHT.ac.uk,,,,33.0,25.0,5.0
Ronald,Mcclain,129586585,RM17Y25@UoNEHT.ac.uk,1,"0048 Christy Glens
Bethside, ND 57973",+1-487-784-4000,GER1405,Beginner's Rhetoric,JK1Z1@UoNEHT.ac.uk,SW1Z1@UoNEHT.ac.uk,,49.0,10.0,,
Thomas,Jones,8627077,TJ1Y25@UoNEHT.ac.uk,4,"912 Michael Heights
Lake Amandaton, ME 05668",,ANIM4405,Mastering Lighting,HS1Z1@UoNEHT.ac.uk,SC1Z1@UoNEHT.ac.uk,MS1Z1@UoNEHT.ac.uk,9.0,8.0,6.0,
Amy,Garcia,92847176,AG9Y25@UoNEHT.ac.uk,2,"88975 Ashley Parkway Apt. 811
Jenniferville, FM 13259",,ENG2407,Advanced Rhetoric,EH1Z1@UoNEHT.ac.uk,,,53.0,19.0,,
Jodi,Young,55702187,JY2Y25@UoNEHT.ac.uk,3,"51623 Snow Route
Spearsborough, TX 95856",887.508.3613,ENG3407,Field Creative Writing,MH2Z1@UoNEHT.ac.uk,,,64.0,1.0,2.0,
Kim,Stewart,123327358,KS17Y25@UoNEHT.ac.uk,1,"54728 Tiffany Mountain
South Jessica, MH 48187",471-839-2616x3634,FREN1402,Introduction to Formal Speech,KB3Z1@UoNEHT.ac.uk,AG1Z1@UoNEHT.ac.uk,,24.0,0.0,10.0,1.0
Robert,Rhodes,110369626,RR6Y25@UoNEHT.ac.uk,1,"918 Lauren Glens Suite 222
New Andrewville, MI 57973",+1-200-438-2430x5489,FINE1405,Early Portraits,HR1Z1@UoNEHT.ac.uk,RJ1Z1@UoNEHT.ac.uk,,5.0,1.0,2.0,5.0
David,Knight,111785496,DK4Y25@UoNEHT.ac.uk,1,"4817 Carter Junction Suite 575
Andersonton, OR 40979",424-339-9705,FINE1403,Beginner's Painting,AM1Z1@UoNEHT.ac.uk,MS5Z1@UoNEHT.ac.uk,,50.0,1.0,8.0,4.0
Amy,Reyes,35185523,AR6Y25@UoNEHT.ac.uk,4,"933 Allen Viaduct
Lake Sarabury, GA 58079",491.819.8299x491,ELEC4405,Theoretical Hardware,GW1Z1@UoNEHT.ac.uk,,,10.0,11.0,,
Virginia,Perry,30293784,VP1Y25@UoNEHT.ac.uk,4,"76860 Kristen Estates Suite 631
Lake Amy, VI 46949",(980)423-5970x271,COMP4407,Theoretical Programming,JB2Z1@UoNEHT.ac.uk,AD2Z1@UoNEHT.ac.uk,,,11.0,47.0,
Elizabeth,Larsen,115086914,EL3Y25@UoNEHT.ac.uk,1,"99294 Laura Branch Apt. 314
Bergmouth, MP 29607",972.915.7855x94247,ANIM1405,Beginner's Rigging,BK1Z1@UoNEHT.ac.uk,RF1Z1@UoNEHT.ac.uk,AM4Z1@UoNEHT.ac.uk,10.0,1.0,5.0,
Danielle,Smith,113539739,DS13Y25@UoNEHT.ac.uk,1,"50125 Joseph Highway
Rachelhaven, TN 48597",(501)946-6031,ANIM1402,Foundational Lighting,AM4Z1@UoNEHT.ac.uk,,,13.0,1.0,3.0,2.0
Rachel,Johnson,101356847,RJ6Y25@UoNEHT.ac.uk,2,"420 Jessica Mountains
North Vickieburgh, AK 26912",,COMP2407,Prototypical Programming,GB1Z1@UoNEHT.ac.uk,,,2.0,18.0,,
Carolyn,Robertson,66883110,CR7Y25@UoNEHT.ac.uk,3,"881 Wilson Mills
Andreachester, AR 26780",+1-334-299-1453x3223,COMP3403,Practical Statistics,LK1Z1@UoNEHT.ac.uk,AW1Z1@UoNEHT.ac.uk,,48.0,0.0,8.0,
Jacob,Ferguson,27063197,JF3Y25@UoNEHT.ac.uk,4,,+1-673-368-4821x5868,GER4405,Master's German Literature,EH1Z1@UoNEHT.ac.uk,,,,50.0,34.0,
Nancy,Turner,111302893,NT3Y25@UoNEHT.ac.uk,1,"930 Raymond Lights Apt. 615
North Christopherton, WV 77738",+1-363-679-2671x2059,FINE1403,Beginner's Painting,AM1Z1@UoNEHT.ac.uk,MS5Z1@UoNEHT.ac.uk,,70.0,4.0,5.0,5.0
Isaiah,Smith,58487735,IS1Y25@UoNEHT.ac.uk,3,,(825)949-0598x336,ENG3405,Practical English Grammar,LG1Z1@UoNEHT.ac.uk,JS2Z1@UoNEHT.ac.uk,NC1Z1@UoNEHT.ac.uk,7.0,6.0,0.0,
Scott,Hamilton,48385159,SH6Y25@UoNEHT.ac.uk,3,"PSC 0960, Box 0396
APO AA 14260",,ANIM3405,Mastering Rigging,MM2Z1@UoNEHT.ac.uk,,,,0.0,25.0,
Craig,Hernandez,58401432,CH6Y25@UoNEHT.ac.uk,3,"5030 Diana Villages Apt. 854
Charlesville, KS 48070",989-489-2822,ENG3402,Mastering Wider Media,MB1Z1@UoNEHT.ac.uk,,,18.0,0.0,,
Noah,Wheeler,47934858,NW5Y25@UoNEHT.ac.uk,3,"7189 Christine Ports Apt. 824
Jacquelinemouth, VI 17793",+1-282-972-3200,ANIM3404,Practical Modelling,DM1Z1@UoNEHT.ac.uk,MA1Z1@UoNEHT.ac.uk,,27.0,13.0,,
Shannon,Klein,16230871,SK1Y25@UoNEHT.ac.uk,4,"009 Stanley Lodge Apt. 991
Kaylabury, KS 60434",,FREN4405,Theoretical Rhetoric,JM1Z1@UoNEHT.ac.uk,JL1Z1@UoNEHT.ac.uk,,54.0,10.0,8.0,
Cassandra,Cruz,137184572,CC19Y25@UoNEHT.ac.uk,1,"78386 Chloe Land
Arroyoburgh, NV 98969",+1-698-580-3583x52104,COMP1403,Beginner's Algorithms,KW2Z1@UoNEHT.ac.uk,JG6Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,18.0,6.0,10.0,
Timothy,Sims,44914160,TS4Y25@UoNEHT.ac.uk,3,"PSC 9313, Box 6494
APO AE 71951",(570)510-2503,ANIM3401,Mastering Blending,LM2Z1@UoNEHT.ac.uk,NC2Z1@UoNEHT.ac.uk,MS2Z1@UoNEHT.ac.uk,26.0,,,
Lisa,Wilson,50741748,LW4Y25@UoNEHT.ac.uk,3,"4333 Nichole Mount
Jenniferborough, WI 87051",+1-350-249-0186x715,FREN3401,Advanced Wider Media,LG1Z1@UoNEHT.ac.uk,MM3Z1@UoNEHT.ac.uk,,98.0,,,
Christopher,Garrison,6035224,CG2Y25@UoNEHT.ac.uk,4,"4661 Kimberly Crest Suite 887
Port Margaretton, AL 10011",796-731-9635,FINE4402,Expert Sketching,RS1Z1@UoNEHT.ac.uk,LM1Z1@UoNEHT.ac.uk,PM1Z1@UoNEHT.ac.uk,98.0,,,
Melissa,Glass,66842847,MG10Y25@UoNEHT.ac.uk,3,"683 Berry Extensions Apt. 517
East Emilymouth, WV 16984",894.530.7309,COMP3401,Mastering Algorithms,MF3Z1@UoNEHT.ac.uk,,,11.0,0.0,1.0,
Joseph,Hughes,102753920,JH34Y25@UoNEHT.ac.uk,2,"290 Campbell Road Suite 578
Port Catherine, MO 84584",,COMP2402,Advanced Ethics and Standards,KB2Z1@UoNEHT.ac.uk,JR3Z1@UoNEHT.ac.uk,CM3Z1@UoNEHT.ac.uk,,16.0,12.0,
