Aaron,Andrews,25207993,AA7Y25@UoNEHT.ac.uk,4,"699 Tamara Stravenue Aaron,Daniels,49731216,AD3Y25@UoNEHT.ac.uk,3,"4562 Torres Camp
Aaron,Lucas,113276341,AL8Y25@UoNEHT.ac.uk,1,,680.341.1245,FINE1401,Basic Landscapes,CM2Z1@UoNEHT.ac.uk,AD6Z1@UoNEHT.ac.uk,,3.0,4.0,6.0,3.0
Aaron,Lucas,113276341,AL8Y25@UoNEHT.ac.uk,1,,680.341.1245,FINE1402,Early Sketching,JO1Z1@UoNEHT.ac.uk,,,33.0,16.0,,
Aaron,Lucas,113276341,AL8Y25@UoNEHT.ac.uk,1,,680.341.1245,FINE1403,Beginner's Painting,AM1Z1@UoNEHT.ac.uk,MS5Z1@UoNEHT.ac.uk,,50.0,3.0,6.0,2.0
Aaron,Lucas,113276341,AL8Y25@UoNEHT.ac.uk,1,,680.341.1245,FINE1404,Foundational Charcoal,JG3Z1@UoNEHT.ac.uk,HS1Z1@UoNEHT.ac.uk,,74.0,1.0,8.0,
Aaron,Lucas,113276341,AL8Y25@UoNEHT.ac.uk,1,,680.341.1245,FINE1405,Early Portraits,HR1Z1@UoNEHT.ac.uk,RJ1Z1@UoNEHT.ac.uk,,61.0,4.0,0.0,4.0
Aaron,Morrison,128938975,AM26Y25@UoNEHT.ac.uk,1,"4670 Rebecca Circle Aaron,Rios,37514432,AR7Y25@UoNEHT.ac.uk,4,"01715 Shannon Square Suite 611
Aaron,Smith,15959891,AS2Y25@UoNEHT.ac.uk,4,"43712 Karen Field Aaronstad, WA 03111",,FREN3401,Advanced Wider Media,LG1Z1@UoNEHT.ac.uk,MM3Z1@UoNEHT.ac.uk,,44.0,,,
Aaronstad, WA 03111",,FREN3402,Practical Rhetoric,KS2Z1@UoNEHT.ac.uk,,,77.0,6.0,10.0, Aaronstad, WA 03111",,FREN3403,Practical Formal Speech,BE1Z1@UoNEHT.ac.uk,,,12.0,,,
Aaronstad, WA 03111",,FREN3404,Advanced French Grammar,MS3Z1@UoNEHT.ac.uk,,,50.0,10.0,, Aaronstad, WA 03111",,FREN3405,Advanced Creative Writing,NC1Z1@UoNEHT.ac.uk,,,34.0,27.0,,
Aaronstad, WA 03111",,FREN3406,Mastering French Literature,MS4Z1@UoNEHT.ac.uk,,,9.0,34.0,, Aaronstad, WA 03111",,FREN3407,Mastering Poetics,AE1Z1@UoNEHT.ac.uk,NY1Z1@UoNEHT.ac.uk,,13.0,11.0,20.0,1.0
Abigail,Clark,38695314,AC9Y25@UoNEHT.ac.uk,3,"USNS Bowman Abigail,Hill,56228519,AH5Y25@UoNEHT.ac.uk,3,"576 Neil Vista Apt. 109
Acostaberg, OH 94615",(826)392-2886x947,COMP2401,Intermediate Design,FM1Z1@UoNEHT.ac.uk,LP1Z1@UoNEHT.ac.uk,TM3Z1@UoNEHT.ac.uk,,10.0,38.0, Acostaberg, OH 94615",(826)392-2886x947,COMP2402,Advanced Ethics and Standards,KB2Z1@UoNEHT.ac.uk,JR3Z1@UoNEHT.ac.uk,CM3Z1@UoNEHT.ac.uk,,43.0,6.0,
Acostaberg, OH 94615",(826)392-2886x947,COMP2403,Advanced Software,JS4Z1@UoNEHT.ac.uk,MN1Z1@UoNEHT.ac.uk,,2.0,21.0,, Acostaberg, OH 94615",(826)392-2886x947,COMP2404,Intermediate Algorithms,CJ2Z1@UoNEHT.ac.uk,JS4Z1@UoNEHT.ac.uk,,45.0,4.0,0.0,
Acostaberg, OH 94615",(826)392-2886x947,COMP2405,Advanced Statistics,BM1Z1@UoNEHT.ac.uk,KR1Z1@UoNEHT.ac.uk,EF1Z1@UoNEHT.ac.uk,94.0,,, Acostaberg, OH 94615",(826)392-2886x947,COMP2406,Advanced Modelling,JG1Z1@UoNEHT.ac.uk,EL1Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,,7.0,1.0,
Acostaberg, OH 94615",(826)392-2886x947,COMP2407,Prototypical Programming,GB1Z1@UoNEHT.ac.uk,,,26.0,18.0,, Acostaberg, SC 29446",,ELEC3401,Advanced Modelling,JG1Z1@UoNEHT.ac.uk,,,60.0,8.0,1.0,
Acostaberg, SC 29446",,ELEC3402,Field Programming,EH2Z1@UoNEHT.ac.uk,TC1Z1@UoNEHT.ac.uk,LK1Z1@UoNEHT.ac.uk,43.0,20.0,, Acostaberg, SC 29446",,ELEC3403,Mastering Ethics and Standards,WR1Z1@UoNEHT.ac.uk,,,7.0,5.0,9.0,
Acostaberg, SC 29446",,ELEC3404,Advanced Microsystems,RR2Z1@UoNEHT.ac.uk,,,78.0,,, Acostaberg, SC 29446",,ELEC3405,Field Design,LN1Z1@UoNEHT.ac.uk,,,9.0,30.0,,
Acostaberg, SC 29446",,ELEC3406,Field Hardware,CL1Z1@UoNEHT.ac.uk,CH1Z1@UoNEHT.ac.uk,MJ1Z1@UoNEHT.ac.uk,26.0,20.0,, Acostaberg, SC 29446",,ELEC3407,Practical Statistics,SA2Z1@UoNEHT.ac.uk,AW1Z1@UoNEHT.ac.uk,RM1Z1@UoNEHT.ac.uk,,28.0,29.0,31.0
Acostamouth, KS 44021",215-464-6237x460,COMP2401,Intermediate Design,FM1Z1@UoNEHT.ac.uk,LP1Z1@UoNEHT.ac.uk,TM3Z1@UoNEHT.ac.uk,,30.0,35.0, Acostamouth, KS 44021",215-464-6237x460,COMP2402,Advanced Ethics and Standards,KB2Z1@UoNEHT.ac.uk,JR3Z1@UoNEHT.ac.uk,CM3Z1@UoNEHT.ac.uk,,47.0,5.0,
Acostamouth, KS 44021",215-464-6237x460,COMP2403,Advanced Software,JS4Z1@UoNEHT.ac.uk,MN1Z1@UoNEHT.ac.uk,,32.0,0.0,, Acostamouth, KS 44021",215-464-6237x460,COMP2404,Intermediate Algorithms,CJ2Z1@UoNEHT.ac.uk,JS4Z1@UoNEHT.ac.uk,,41.0,8.0,3.0,
Acostamouth, KS 44021",215-464-6237x460,COMP2405,Advanced Statistics,BM1Z1@UoNEHT.ac.uk,KR1Z1@UoNEHT.ac.uk,EF1Z1@UoNEHT.ac.uk,67.0,,, Acostamouth, KS 44021",215-464-6237x460,COMP2406,Advanced Modelling,JG1Z1@UoNEHT.ac.uk,EL1Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,,3.0,21.0,
Acostamouth, KS 44021",215-464-6237x460,COMP2407,Prototypical Programming,GB1Z1@UoNEHT.ac.uk,,,0.0,10.0,, Acostatown, PW 68236",,FREN2401,Advanced Wider Media,MS4Z1@UoNEHT.ac.uk,,,,5.0,12.0,
